CustomerId,CustomerNumber,CustomerName,CustomerType,Industry,Region,CountryCode,Status,CreatedDate,GoLiveDate,BillingCurrency,DefaultTaxRate,CreditRating,IsAutoPay
35,CUST-000035,Customer 00035,SmallBusiness,Media,UK South,GB,Active,2023-04-13,2023-04-18,USD,0.0650,615,0
36,CUST-000036,Customer 00036,SmallBusiness,Media,Central US,US,Active,2023-10-19,2023-10-30,USD,0.0825,584,1
37,CUST-000037,Customer 00037,MidMarket,Retail,UK South,GB,Active,2023-11-03,2024-01-02,USD,0.0000,659,1
38,CUST-000038,Customer 00038,SmallBusiness,Education,UK South,GB,Active,2023-08-04,2023-09-19,USD,0.0650,606,1
39,CUST-000039,Customer 00039,SmallBusiness,Manufacturing,Canada Central,CA,Active,2025-04-29,2025-05-17,USD,0.0650,662,0
40,CUST-000040,Customer 00040,SmallBusiness,Finance,UK South,GB,Active,2024-12-23,2025-01-20,USD,0.0500,598,0
41,CUST-000041,Customer 00041,SmallBusiness,Healthcare,UK South,GB,Active,2024-07-19,2024-07-29,USD,0.0000,763,1
42,CUST-000042,Customer 00042,SmallBusiness,Media,West US,US,Suspended,2024-11-13,2024-11-20,USD,0.0725,659,0
43,CUST-000043,Customer 00043,Enterprise,Retail,West US,US,Suspended,2025-06-04,2025-06-15,USD,0.0000,671,0
44,CUST-000044,Customer 00044,SmallBusiness,Technology,Central US,US,Active,2025-03-12,2025-05-11,USD,0.0000,775,0
45,CUST-000045,Customer 00045,MidMarket,Energy,Canada Central,CA,Active,2023-08-16,2023-08-29,USD,0.0500,694,1
46,CUST-000046,Customer 00046,SmallBusiness,Finance,West US,US,Churned,2024-02-13,2024-03-06,USD,0.0650,759,1
47,CUST-000047,Customer 00047,SmallBusiness,Healthcare,Canada Central,CA,Active,2024-11-26,2025-01-19,USD,0.0650,671,1
48,CUST-000048,Customer 00048,SmallBusiness,Manufacturing,Central US,US,Active,2023-02-09,2023-02-16,USD,0.0650,803,1
49,CUST-000049,Customer 00049,Enterprise,Technology,UK South,GB,Active,2023-04-29,2023-05-24,USD,0.0725,580,1
50,CUST-000050,Customer 00050,Enterprise,Technology,UK South,GB,Active,2024-12-04,2025-01-20,USD,0.0000,749,1
51,CUST-000051,Customer 00051,SmallBusiness,Education,East US,US,Active,2025-01-07,2025-03-06,USD,0.0650,786,0
52,CUST-000052,Customer 00052,SmallBusiness,Logistics,UK South,GB,Active,2023-05-11,2023-05-24,USD,0.0500,734,1
53,CUST-000053,Customer 00053,SmallBusiness,Manufacturing,East US,US,Active,2023-11-08,2023-11-27,USD,0.0725,689,1
54,CUST-000054,Customer 00054,SmallBusiness,Manufacturing,West US,US,Active,2024-11-05,2024-11-11,USD,0.0500,738,1
55,CUST-000055,Customer 00055,SmallBusiness,Energy,West US,US,Active,2023-05-31,2023-06-02,USD,0.0000,813,1
56,CUST-000056,Customer 00056,MidMarket,Energy,UK South,GB,Active,2023-07-19,2023-09-03,USD,0.0500,582,0
57,CUST-000057,Customer 00057,SmallBusiness,Media,East US,US,Active,2025-03-08,2025-04-05,USD,0.0825,707,0
58,CUST-000058,Customer 00058,MidMarket,Media,East US,US,Churned,2024-04-12,2024-04-21,USD,0.0825,742,0
59,CUST-000059,Customer 00059,MidMarket,Media,Canada Central,CA,Active,2024-09-19,2024-11-11,USD,0.0825,808,0
60,CUST-000060,Customer 00060,MidMarket,Education,Canada Central,CA,Active,2024-04-05,2024-04-22,USD,0.0825,828,1
61,CUST-000061,Customer 00061,MidMarket,Technology,Central US,US,Active,2024-03-26,2024-03-31,USD,0.0650,621,1
62,CUST-000062,Customer 00062,SmallBusiness,Technology,West US,US,Active,2024-01-28,2024-03-13,USD,0.0725,749,1
63,CUST-000063,Customer 00063,MidMarket,Logistics,Canada Central,CA,Suspended,2023-03-05,2023-03-19,USD,0.0825,590,0
64,CUST-000064,Customer 00064,SmallBusiness,Manufacturing,UK South,GB,Active,2024-01-25,2024-02-25,USD,0.0725,794,1
65,CUST-000065,Customer 00065,Enterprise,Energy,UK South,GB,Active,2025-03-30,2025-05-08,USD,0.0725,828,1
66,CUST-000066,Customer 00066,MidMarket,Retail,Central US,US,Suspended,2024-11-15,2024-12-29,USD,0.0500,593,0
67,CUST-000067,Customer 00067,SmallBusiness,Logistics,UK South,GB,Active,2024-07-31,2024-09-12,USD,0.0725,673,1
68,CUST-000068,Customer 00068,SmallBusiness,Manufacturing,Canada Central,CA,Active,2023-12-02,2023-12-16,USD,0.0725,722,0
69,CUST-000069,Customer 00069,SmallBusiness,Healthcare,Canada Central,CA,Active,2023-09-16,2023-11-09,USD,0.0000,759,1
70,CUST-000070,Customer 00070,SmallBusiness,Healthcare,East US,US,Churned,2025-03-10,2025-04-21,USD,0.0500,590,1
71,CUST-000071,Customer 00071,MidMarket,Technology,West US,US,Active,2023-05-10,2023-06-10,USD,0.0650,768,1
72,CUST-000072,Customer 00072,SmallBusiness,Retail,UK South,GB,Churned,2025-02-04,2025-03-22,USD,0.0000,593,0
73,CUST-000073,Customer 00073,Enterprise,Logistics,UK South,GB,Churned,2024-11-24,2025-01-22,USD,0.0500,618,1
74,CUST-000074,Customer 00074,MidMarket,Finance,West US,US,Active,2023-04-15,2023-05-30,USD,0.0825,601,1
75,CUST-000075,Customer 00075,SmallBusiness,Manufacturing,Canada Central,CA,Active,2024-11-08,2024-12-02,USD,0.0725,830,1
76,CUST-000076,Customer 00076,MidMarket,Retail,Central US,US,Active,2024-10-12,2024-12-09,USD,0.0825,718,1
77,CUST-000077,Customer 00077,SmallBusiness,Education,UK South,GB,Active,2025-03-04,2025-04-04,USD,0.0500,624,1
78,CUST-000078,Customer 00078,SmallBusiness,Logistics,Canada Central,CA,Active,2023-09-07,2023-10-26,USD,0.0725,746,1
79,CUST-000079,Customer 00079,SmallBusiness,Education,West US,US,Suspended,2023-12-30,2024-02-20,USD,0.0650,585,1
80,CUST-000080,Customer 00080,MidMarket,Energy,West US,US,Active,2023-03-29,2023-04-14,USD,0.0500,823,1
81,CUST-000081,Customer 00081,SmallBusiness,Education,Canada Central,CA,Active,2024-04-03,2024-05-24,USD,0.0500,736,1
82,CUST-000082,Customer 00082,SmallBusiness,Logistics,Central US,US,Churned,2024-04-29,2024-06-04,USD,0.0825,749,1
83,CUST-000083,Customer 00083,SmallBusiness,Finance,Canada Central,CA,Active,2023-10-05,2023-10-25,USD,0.0650,641,0
84,CUST-000084,Customer 00084,MidMarket,Education,West US,US,Active,2023-07-16,2023-07-30,USD,0.0825,724,0
85,CUST-000085,Customer 00085,SmallBusiness,Education,West US,US,Active,2023-10-31,2023-11-15,USD,0.0825,644,1
86,CUST-000086,Customer 00086,MidMarket,Retail,East US,US,Active,2024-07-20,2024-08-08,USD,0.0725,632,0
87,CUST-000087,Customer 00087,SmallBusiness,Manufacturing,UK South,GB,Active,2023-10-19,2023-11-19,USD,0.0000,709,0
88,CUST-000088,Customer 00088,SmallBusiness,Energy,Canada Central,CA,Active,2023-04-27,2023-06-19,USD,0.0000,657,1
89,CUST-000089,Customer 00089,Enterprise,Finance,UK South,GB,Active,2023-11-08,2023-11-14,USD,0.0725,695,0
90,CUST-000090,Customer 00090,SmallBusiness,Logistics,Canada Central,CA,Active,2024-04-06,2024-06-04,USD,0.0825,610,1
91,CUST-000091,Customer 00091,MidMarket,Education,East US,US,Active,2025-02-20,2025-03-06,USD,0.0500,702,1
92,CUST-000092,Customer 00092,SmallBusiness,Energy,East US,US,Active,2023-06-10,2023-06-11,USD,0.0500,727,0
93,CUST-000093,Customer 00093,SmallBusiness,Education,Canada Central,CA,Active,2023-03-14,2023-04-27,USD,0.0825,681,1
94,CUST-000094,Customer 00094,SmallBusiness,Education,UK South,GB,Suspended,2023-08-19,2023-09-30,USD,0.0000,610,1
95,CUST-000095,Customer 00095,MidMarket,Education,Central US,US,Active,2024-09-01,2024-10-19,USD,0.0725,735,0
96,CUST-000096,Customer 00096,SmallBusiness,Finance,Central US,US,Active,2024-05-27,2024-07-01,USD,0.0725,745,1
97,CUST-000097,Customer 00097,Enterprise,Healthcare,East US,US,Churned,2023-04-04,2023-04-19,USD,0.0650,600,0
98,CUST-000098,Customer 00098,MidMarket,Education,West US,US,Active,2024-04-26,2024-05-30,USD,0.0825,803,1
99,CUST-000099,Customer 00099,SmallBusiness,Manufacturing,Canada Central,CA,Active,2023-04-04,2023-05-05,USD,0.0000,662,1
100,CUST-000100,Customer 00100,Enterprise,Media,Canada Central,CA,Active,2023-10-23,2023-12-05,USD,0.0000,741,1
101,CUST-000101,Customer 00101,MidMarket,Healthcare,East US,US,Active,2025-03-02,2025-03-28,USD,0.0825,816,1
102,CUST-000102,Customer 00102,MidMarket,Energy,West US,US,Active,2024-06-14,2024-07-08,USD,0.0000,684,1
103,CUST-000103,Customer 00103,Enterprise,Energy,West US,US,Active,2023-10-22,2023-11-20,USD,0.0825,702,0
104,CUST-000104,Customer 00104,SmallBusiness,Finance,Central US,US,Active,2024-07-18,2024-07-19,USD,0.0000,816,0
105,CUST-000105,Customer 00105,MidMarket,Media,West US,US,Active,2024-05-25,2024-07-24,USD,0.0725,827,0
106,CUST-000106,Customer 00106,SmallBusiness,Technology,West US,US,Churned,2024-04-12,2024-05-18,USD,0.0825,649,0
107,CUST-000107,Customer 00107,MidMarket,Manufacturing,Central US,US,Churned,2025-03-02,2025-04-22,USD,0.0825,716,0
108,CUST-000108,Customer 00108,MidMarket,Energy,Central US,US,Suspended,2025-01-13,2025-02-02,USD,0.0725,827,1
109,CUST-000109,Customer 00109,SmallBusiness,Manufacturing,UK South,GB,Suspended,2025-02-20,2025-03-27,USD,0.0500,776,1
110,CUST-000110,Customer 00110,MidMarket,Logistics,Canada Central,CA,Active,2023-02-14,2023-03-07,USD,0.0500,833,0
111,CUST-000111,Customer 00111,SmallBusiness,Finance,West US,US,Suspended,2024-05-29,2024-07-06,USD,0.0725,631,1
112,CUST-000112,Customer 00112,SmallBusiness,Retail,Canada Central,CA,Active,2023-01-16,2023-03-04,USD,0.0650,753,1
113,CUST-000113,Customer 00113,MidMarket,Media,Canada Central,CA,Active,2024-10-27,2024-11-02,USD,0.0650,829,0
114,CUST-000114,Customer 00114,SmallBusiness,Education,East US,US,Churned,2024-09-24,2024-09-29,USD,0.0000,802,0
115,CUST-000115,Customer 00115,MidMarket,Healthcare,East US,US,Active,2024-03-30,2024-04-10,USD,0.0000,730,1
116,CUST-000116,Customer 00116,SmallBusiness,Retail,Canada Central,CA,Active,2023-05-30,2023-06-15,USD,0.0000,775,1
117,CUST-000117,Customer 00117,SmallBusiness,Technology,West US,US,Active,2024-05-24,2024-07-22,USD,0.0650,815,1
118,CUST-000118,Customer 00118,Enterprise,Media,East US,US,Active,2025-04-03,2025-05-03,USD,0.0725,756,0
119,CUST-000119,Customer 00119,MidMarket,Energy,Central US,US,Suspended,2024-10-16,2024-11-13,USD,0.0500,776,0
120,CUST-000120,Customer 00120,SmallBusiness,Education,East US,US,Churned,2023-08-31,2023-09-25,USD,0.0650,591,0
121,CUST-000121,Customer 00121,SmallBusiness,Healthcare,Canada Central,CA,Suspended,2023-10-09,2023-10-10,USD,0.0725,726,0
122,CUST-000122,Customer 00122,SmallBusiness,Technology,West US,US,Active,2024-09-13,2024-11-04,USD,0.0500,629,0
123,CUST-000123,Customer 00123,SmallBusiness,Manufacturing,East US,US,Active,2023-11-13,2024-01-03,USD,0.0000,731,1
124,CUST-000124,Customer 00124,SmallBusiness,Media,Canada Central,CA,Suspended,2023-06-29,2023-07-12,USD,0.0650,836,0
125,CUST-000125,Customer 00125,MidMarket,Energy,West US,US,Churned,2023-09-21,2023-11-19,USD,0.0650,753,0
126,CUST-000126,Customer 00126,MidMarket,Technology,Canada Central,CA,Suspended,2023-03-19,2023-03-29,USD,0.0725,767,1
127,CUST-000127,Customer 00127,SmallBusiness,Energy,Canada Central,CA,Active,2023-01-15,2023-02-01,USD,0.0650,775,0
128,CUST-000128,Customer 00128,SmallBusiness,Healthcare,Central US,US,Active,2023-04-21,2023-06-04,USD,0.0825,747,0
129,CUST-000129,Customer 00129,MidMarket,Energy,West US,US,Suspended,2024-10-25,2024-10-30,USD,0.0650,789,1
130,CUST-000130,Customer 00130,Enterprise,Finance,East US,US,Active,2023-02-08,2023-02-28,USD,0.0825,649,1
131,CUST-000131,Customer 00131,MidMarket,Media,Central US,US,Active,2024-11-17,2025-01-04,USD,0.0500,792,1
132,CUST-000132,Customer 00132,Enterprise,Education,Canada Central,CA,Active,2024-09-22,2024-10-19,USD,0.0650,691,1
133,CUST-000133,Customer 00133,SmallBusiness,Manufacturing,West US,US,Active,2025-05-25,2025-06-18,USD,0.0650,611,1
134,CUST-000134,Customer 00134,MidMarket,Finance,West US,US,Active,2023-05-06,2023-06-30,USD,0.0825,590,1
135,CUST-000135,Customer 00135,MidMarket,Technology,Central US,US,Active,2023-09-07,2023-09-16,USD,0.0825,686,1
136,CUST-000136,Customer 00136,SmallBusiness,Healthcare,West US,US,Active,2023-12-03,2024-01-22,USD,0.0500,646,1
137,CUST-000137,Customer 00137,MidMarket,Retail,West US,US,Active,2023-04-23,2023-06-05,USD,0.0500,745,1
138,CUST-000138,Customer 00138,MidMarket,Media,Central US,US,Active,2023-02-23,2023-03-04,USD,0.0000,823,1
139,CUST-000139,Customer 00139,SmallBusiness,Media,Central US,US,Active,2024-06-09,2024-07-17,USD,0.0825,602,0
140,CUST-000140,Customer 00140,MidMarket,Healthcare,UK South,GB,Active,2023-11-05,2023-12-05,USD,0.0725,785,1
141,CUST-000141,Customer 00141,Enterprise,Finance,East US,US,Suspended,2024-05-17,2024-07-02,USD,0.0650,655,1
142,CUST-000142,Customer 00142,SmallBusiness,Manufacturing,Central US,US,Active,2024-10-01,2024-11-11,USD,0.0825,730,1
143,CUST-000143,Customer 00143,MidMarket,Finance,UK South,GB,Suspended,2024-03-16,2024-03-23,USD,0.0825,690,1
144,CUST-000144,Customer 00144,MidMarket,Logistics,West US,US,Active,2024-02-28,2024-03-21,USD,0.0000,740,1
145,CUST-000145,Customer 00145,MidMarket,Energy,Central US,US,Active,2024-01-19,2024-01-29,USD,0.0000,627,1
146,CUST-000146,Customer 00146,SmallBusiness,Media,Central US,US,Active,2025-04-11,2025-04-20,USD,0.0000,790,1
147,CUST-000147,Customer 00147,MidMarket,Education,Canada Central,CA,Active,2025-06-07,2025-08-05,USD,0.0650,633,1
148,CUST-000148,Customer 00148,SmallBusiness,Finance,West US,US,Active,2023-06-08,2023-07-21,USD,0.0825,768,1
149,CUST-000149,Customer 00149,MidMarket,Media,Central US,US,Churned,2024-08-10,2024-08-25,USD,0.0825,593,1
150,CUST-000150,Customer 00150,SmallBusiness,Education,Central US,US,Churned,2023-01-30,2023-02-11,USD,0.0650,583,1
151,CUST-000151,Customer 00151,SmallBusiness,Retail,West US,US,Active,2024-08-02,2024-09-14,USD,0.0000,626,0
152,CUST-000152,Customer 00152,SmallBusiness,Retail,West US,US,Active,2024-01-21,2024-02-17,USD,0.0650,623,0
153,CUST-000153,Customer 00153,MidMarket,Finance,West US,US,Active,2023-06-11,2023-07-30,USD,0.0725,828,1
154,CUST-000154,Customer 00154,MidMarket,Finance,Canada Central,CA,Active,2023-10-07,2023-10-21,USD,0.0000,725,1
155,CUST-000155,Customer 00155,MidMarket,Healthcare,UK South,GB,Active,2024-05-13,2024-06-16,USD,0.0825,608,1
156,CUST-000156,Customer 00156,SmallBusiness,Education,Central US,US,Active,2023-08-05,2023-09-24,USD,0.0000,583,1
157,CUST-000157,Customer 00157,SmallBusiness,Technology,Canada Central,CA,Active,2023-06-29,2023-07-08,USD,0.0650,616,1
158,CUST-000158,Customer 00158,SmallBusiness,Finance,East US,US,Suspended,2024-03-22,2024-03-24,USD,0.0825,799,1
159,CUST-000159,Customer 00159,SmallBusiness,Manufacturing,Canada Central,CA,Active,2023-10-24,2023-11-01,USD,0.0825,815,0
160,CUST-000160,Customer 00160,MidMarket,Technology,Central US,US,Active,2023-04-01,2023-04-29,USD,0.0725,620,1
161,CUST-000161,Customer 00161,SmallBusiness,Retail,Central US,US,Active,2025-02-02,2025-02-24,USD,0.0000,679,0
162,CUST-000162,Customer 00162,Enterprise,Retail,Central US,US,Active,2023-12-26,2024-02-11,USD,0.0500,711,1
163,CUST-000163,Customer 00163,MidMarket,Finance,UK South,GB,Active,2023-06-06,2023-07-25,USD,0.0725,817,0
164,CUST-000164,Customer 00164,Enterprise,Manufacturing,UK South,GB,Suspended,2024-04-04,2024-05-18,USD,0.0650,657,1
165,CUST-000165,Customer 00165,SmallBusiness,Education,Canada Central,CA,Active,2024-03-28,2024-05-08,USD,0.0650,839,1
166,CUST-000166,Customer 00166,SmallBusiness,Education,Canada Central,CA,Active,2024-04-07,2024-04-10,USD,0.0000,839,1
167,CUST-000167,Customer 00167,MidMarket,Healthcare,UK South,GB,Active,2024-07-21,2024-09-10,USD,0.0825,676,1
168,CUST-000168,Customer 00168,Enterprise,Energy,Canada Central,CA,Active,2024-05-28,2024-06-07,USD,0.0650,623,1
169,CUST-000169,Customer 00169,MidMarket,Energy,West US,US,Active,2023-02-10,2023-02-26,USD,0.0825,661,1
170,CUST-000170,Customer 00170,MidMarket,Healthcare,Central US,US,Active,2024-02-01,2024-02-28,USD,0.0650,613,1
171,CUST-000171,Customer 00171,SmallBusiness,Retail,UK South,GB,Active,2024-11-25,2024-12-20,USD,0.0825,652,0
172,CUST-000172,Customer 00172,MidMarket,Retail,Central US,US,Active,2024-11-02,2024-12-17,USD,0.0000,738,1
173,CUST-000173,Customer 00173,MidMarket,Media,Central US,US,Active,2025-04-12,2025-04-21,USD,0.0725,840,1
174,CUST-000174,Customer 00174,Enterprise,Manufacturing,Central US,US,Churned,2023-11-13,2023-11-25,USD,0.0725,678,1
175,CUST-000175,Customer 00175,SmallBusiness,Finance,West US,US,Active,2023-06-08,2023-06-13,USD,0.0825,599,1
176,CUST-000176,Customer 00176,SmallBusiness,Retail,UK South,GB,Active,2023-05-15,2023-06-23,USD,0.0825,664,0
177,CUST-000177,Customer 00177,MidMarket,Technology,East US,US,Churned,2024-02-25,2024-03-20,USD,0.0825,725,0
178,CUST-000178,Customer 00178,SmallBusiness,Energy,Canada Central,CA,Suspended,2023-08-28,2023-10-02,USD,0.0500,768,1
179,CUST-000179,Customer 00179,MidMarket,Logistics,UK South,GB,Active,2024-03-27,2024-04-26,USD,0.0725,662,0
180,CUST-000180,Customer 00180,SmallBusiness,Energy,UK South,GB,Suspended,2023-05-22,2023-07-17,USD,0.0825,632,0
181,CUST-000181,Customer 00181,SmallBusiness,Retail,UK South,GB,Active,2025-05-21,2025-05-29,USD,0.0825,655,0
182,CUST-000182,Customer 00182,SmallBusiness,Manufacturing,East US,US,Churned,2023-08-16,2023-10-08,USD,0.0725,607,1
183,CUST-000183,Customer 00183,Enterprise,Manufacturing,Central US,US,Active,2023-08-30,2023-09-24,USD,0.0650,630,0
184,CUST-000184,Customer 00184,SmallBusiness,Education,Central US,US,Suspended,2025-03-21,2025-03-31,USD,0.0725,651,0
185,CUST-000185,Customer 00185,SmallBusiness,Finance,Canada Central,CA,Active,2024-04-04,2024-05-14,USD,0.0500,656,1
186,CUST-000186,Customer 00186,SmallBusiness,Education,UK South,GB,Active,2024-06-24,2024-07-22,USD,0.0000,604,1
187,CUST-000187,Customer 00187,SmallBusiness,Energy,UK South,GB,Active,2024-04-13,2024-04-18,USD,0.0000,703,0
188,CUST-000188,Customer 00188,MidMarket,Technology,Central US,US,Active,2024-03-15,2024-03-16,USD,0.0500,623,1
189,CUST-000189,Customer 00189,SmallBusiness,Media,Central US,US,Active,2023-03-11,2023-04-14,USD,0.0725,820,1
190,CUST-000190,Customer 00190,MidMarket,Manufacturing,Canada Central,CA,Active,2024-01-18,2024-02-04,USD,0.0650,703,0
191,CUST-000191,Customer 00191,MidMarket,Manufacturing,East US,US,Active,2025-03-01,2025-04-08,USD,0.0650,753,0
192,CUST-000192,Customer 00192,MidMarket,Energy,West US,US,Active,2025-04-30,2025-06-19,USD,0.0500,612,0
193,CUST-000193,Customer 00193,SmallBusiness,Technology,Canada Central,CA,Suspended,2023-02-07,2023-02-26,USD,0.0650,738,1
194,CUST-000194,Customer 00194,SmallBusiness,Technology,UK South,GB,Active,2024-04-29,2024-05-16,USD,0.0000,749,1
195,CUST-000195,Customer 00195,SmallBusiness,Energy,Central US,US,Suspended,2024-03-23,2024-05-19,USD,0.0725,753,0
196,CUST-000196,Customer 00196,SmallBusiness,Media,Canada Central,CA,Active,2024-12-09,2025-01-10,USD,0.0000,797,1
197,CUST-000197,Customer 00197,SmallBusiness,Manufacturing,UK South,GB,Active,2025-04-22,2025-05-04,USD,0.0650,731,1
198,CUST-000198,Customer 00198,SmallBusiness,Energy,UK South,GB,Active,2025-01-04,2025-02-01,USD,0.0000,760,1
199,CUST-000199,Customer 00199,Enterprise,Healthcare,Canada Central,CA,Active,2023-10-09,2023-11-19,USD,0.0725,766,1
200,CUST-000200,Customer 00200,MidMarket,Energy,West US,US,Active,2023-02-01,2023-02-11,USD,0.0000,700,0
201,CUST-000201,Customer 00201,Enterprise,Healthcare,Central US,US,Active,2024-01-06,2024-01-31,USD,0.0725,769,1
202,CUST-000202,Customer 00202,SmallBusiness,Logistics,East US,US,Active,2024-08-10,2024-08-19,USD,0.0650,707,0
203,CUST-000203,Customer 00203,SmallBusiness,Logistics,East US,US,Suspended,2025-01-23,2025-02-04,USD,0.0000,714,0
204,CUST-000204,Customer 00204,SmallBusiness,Energy,Canada Central,CA,Active,2023-08-08,2023-09-17,USD,0.0500,617,1
205,CUST-000205,Customer 00205,MidMarket,Manufacturing,Canada Central,CA,Active,2023-03-31,2023-05-22,USD,0.0000,728,0
206,CUST-000206,Customer 00206,Enterprise,Retail,West US,US,Active,2024-12-29,2025-02-13,USD,0.0825,694,1
207,CUST-000207,Customer 00207,SmallBusiness,Energy,West US,US,Active,2025-03-22,2025-03-31,USD,0.0825,768,1
208,CUST-000208,Customer 00208,Enterprise,Finance,UK South,GB,Active,2023-05-13,2023-06-22,USD,0.0725,790,0
209,CUST-000209,Customer 00209,Enterprise,Finance,UK South,GB,Active,2023-03-17,2023-03-26,USD,0.0825,756,1
210,CUST-000210,Customer 00210,SmallBusiness,Retail,UK South,GB,Active,2024-10-17,2024-11-24,USD,0.0000,643,1
211,CUST-000211,Customer 00211,SmallBusiness,Technology,Central US,US,Active,2023-06-18,2023-06-29,USD,0.0825,725,0
212,CUST-000212,Customer 00212,Enterprise,Education,Central US,US,Active,2023-07-21,2023-08-31,USD,0.0650,627,1
213,CUST-000213,Customer 00213,SmallBusiness,Manufacturing,West US,US,Suspended,2024-08-29,2024-10-06,USD,0.0825,601,0
214,CUST-000214,Customer 00214,Enterprise,Education,East US,US,Active,2023-03-25,2023-03-28,USD,0.0825,793,1
215,CUST-000215,Customer 00215,MidMarket,Education,East US,US,Active,2024-05-24,2024-07-20,USD,0.0650,827,1
216,CUST-000216,Customer 00216,SmallBusiness,Healthcare,Canada Central,CA,Active,2023-11-01,2023-12-01,USD,0.0725,827,1
217,CUST-000217,Customer 00217,SmallBusiness,Manufacturing,Central US,US,Active,2024-09-13,2024-09-23,USD,0.0650,784,1
218,CUST-000218,Customer 00218,SmallBusiness,Technology,Central US,US,Active,2024-06-11,2024-07-17,USD,0.0650,810,1
