SubscriptionId,CustomerId,RatePlanId,SubscriptionNumber,StartDate,EndDate,Status,Quantity,DiscountPercent,ContractTermMonths,RenewalDate,SalesChannel
46,18,24,SUB-00000046,2025-01-29,2025-08-08,Cancelled,6,0.0000,36,2028-01-14,Direct
47,18,16,SUB-00000047,2024-11-26,,Active,12,2.5000,12,2025-11-21,Marketplace
48,18,20,SUB-00000048,2024-08-07,,Active,4,5.0000,24,2026-07-28,Marketplace
49,18,4,SUB-00000049,2024-09-18,,Active,18,12.5000,24,2026-09-08,Marketplace
50,19,4,SUB-00000050,2025-04-20,,Active,5,0.0000,24,2027-04-10,Direct
51,20,7,SUB-00000051,2024-12-21,,Active,3,0.0000,24,2026-12-11,Partner
52,20,11,SUB-00000052,2024-08-15,,Active,17,0.0000,12,2025-08-10,Marketplace
53,20,19,SUB-00000053,2025-07-06,,Active,6,7.5000,12,2026-07-01,Direct
54,20,22,SUB-00000054,2024-06-04,,Active,7,5.0000,36,2027-05-20,Direct
55,21,13,SUB-00000055,2025-04-24,,Active,1,0.0000,24,2027-04-14,Partner
56,21,6,SUB-00000056,2025-09-19,,Active,4,0.0000,36,2028-09-03,Direct
57,21,21,SUB-00000057,2024-12-30,,Active,2,7.5000,36,2027-12-15,Direct
58,21,9,SUB-00000058,2024-12-30,,Active,2,2.5000,36,2027-12-15,Partner
59,22,22,SUB-00000059,2024-09-30,,Active,5,12.5000,36,2027-09-15,Direct
60,22,18,SUB-00000060,2025-09-16,,Active,3,5.0000,24,2027-09-06,Direct
61,23,22,SUB-00000061,2025-06-21,,Active,4,5.0000,24,2027-06-11,Direct
62,23,5,SUB-00000062,2025-06-21,,Active,1,5.0000,36,2028-06-05,Marketplace
63,23,18,SUB-00000063,2025-06-21,,Active,4,2.5000,24,2027-06-11,Marketplace
64,23,13,SUB-00000064,2025-06-21,,Active,4,10.0000,12,2026-06-16,Marketplace
65,24,17,SUB-00000065,2024-09-13,,Active,5,10.0000,12,2025-09-08,Partner
66,24,14,SUB-00000066,2025-04-16,,Paused,4,10.0000,36,2028-03-31,Marketplace
67,24,2,SUB-00000067,2024-12-02,,Active,1,12.5000,12,2025-11-27,Partner
68,24,9,SUB-00000068,2024-09-13,,Active,4,5.0000,24,2026-09-03,Direct
69,25,21,SUB-00000069,2025-02-14,,Active,4,0.0000,24,2027-02-04,Partner
70,25,9,SUB-00000070,2024-11-09,,Active,4,7.5000,12,2025-11-04,Marketplace
71,26,9,SUB-00000071,2025-05-25,,Active,3,0.0000,24,2027-05-15,Direct
72,26,21,SUB-00000072,2025-05-25,,Active,5,0.0000,36,2028-05-09,Partner
73,26,1,SUB-00000073,2025-05-25,,Active,4,5.0000,36,2028-05-09,Direct
74,26,14,SUB-00000074,2025-05-25,,Active,3,0.0000,24,2027-05-15,Partner
75,27,19,SUB-00000075,2024-06-07,,Paused,8,2.5000,36,2027-05-23,Direct
76,27,7,SUB-00000076,2024-05-04,,Paused,20,12.5000,24,2026-04-24,Partner
77,28,16,SUB-00000077,2025-05-07,,Active,13,5.0000,36,2028-04-21,Marketplace
78,28,20,SUB-00000078,2025-05-07,,Active,11,7.5000,24,2027-04-27,Direct
79,28,8,SUB-00000079,2025-07-05,,Active,17,12.5000,36,2028-06-19,Marketplace
80,28,24,SUB-00000080,2025-05-07,,Active,8,12.5000,36,2028-04-21,Partner
81,29,17,SUB-00000081,2025-03-22,,Active,5,12.5000,12,2026-03-17,Marketplace
82,30,2,SUB-00000082,2024-12-28,,Active,3,0.0000,12,2025-12-23,Marketplace
83,31,5,SUB-00000083,2025-04-07,,Active,3,2.5000,24,2027-03-28,Marketplace
84,31,10,SUB-00000084,2025-07-06,,Active,5,0.0000,36,2028-06-20,Marketplace
85,31,2,SUB-00000085,2025-09-20,,Active,2,2.5000,12,2026-09-15,Marketplace
86,31,14,SUB-00000086,2025-05-21,,Active,4,10.0000,36,2028-05-05,Partner
87,32,7,SUB-00000087,2024-09-06,,Active,9,12.5000,24,2026-08-27,Direct
88,32,10,SUB-00000088,2024-12-25,,Active,25,0.0000,36,2027-12-10,Marketplace
89,32,2,SUB-00000089,2025-01-17,,Active,17,0.0000,12,2026-01-12,Direct
90,32,22,SUB-00000090,2025-07-30,,Active,7,12.5000,24,2027-07-20,Direct
91,33,19,SUB-00000091,2025-01-18,,Active,2,0.0000,36,2028-01-03,Partner
92,33,9,SUB-00000092,2024-10-25,,Active,5,0.0000,12,2025-10-20,Direct
93,34,13,SUB-00000093,2025-07-15,,Active,5,0.0000,24,2027-07-05,Partner
94,34,17,SUB-00000094,2024-07-11,2024-11-08,Cancelled,4,0.0000,24,2026-07-01,Marketplace
95,34,21,SUB-00000095,2025-07-13,,Active,4,2.5000,36,2028-06-27,Partner
96,34,6,SUB-00000096,2025-01-21,,Active,3,12.5000,12,2026-01-16,Marketplace
97,35,17,SUB-00000097,2024-02-12,,Active,5,0.0000,12,2025-02-06,Marketplace
98,35,1,SUB-00000098,2024-11-06,,Active,1,10.0000,24,2026-10-27,Marketplace
99,35,5,SUB-00000099,2024-08-07,,Active,2,7.5000,12,2025-08-02,Direct
100,35,22,SUB-00000100,2025-09-19,2026-07-01,Cancelled,2,0.0000,12,2026-09-14,Partner
101,36,6,SUB-00000101,2025-02-03,,Active,1,0.0000,12,2026-01-29,Direct
102,37,23,SUB-00000102,2025-08-07,,Active,7,5.0000,36,2028-07-22,Partner
103,37,15,SUB-00000103,2024-10-11,,Active,20,0.0000,12,2025-10-06,Marketplace
104,38,21,SUB-00000104,2024-08-16,,Active,4,0.0000,12,2025-08-11,Direct
105,38,13,SUB-00000105,2024-10-18,,Active,3,0.0000,36,2027-10-03,Direct
106,38,17,SUB-00000106,2024-07-24,,Paused,4,0.0000,12,2025-07-19,Direct
107,38,1,SUB-00000107,2024-03-10,,Active,2,12.5000,12,2025-03-05,Marketplace
108,39,6,SUB-00000108,2025-05-17,,Active,3,5.0000,12,2026-05-12,Direct
109,40,13,SUB-00000109,2025-01-24,,Active,2,0.0000,12,2026-01-19,Marketplace
110,40,1,SUB-00000110,2025-03-27,,Active,3,0.0000,12,2026-03-22,Direct
111,40,5,SUB-00000111,2025-01-20,,Paused,2,7.5000,24,2027-01-10,Partner
112,41,1,SUB-00000112,2025-01-25,,Active,5,0.0000,12,2026-01-20,Direct
113,42,21,SUB-00000113,2025-05-02,,Active,5,10.0000,36,2028-04-16,Partner
114,43,12,SUB-00000114,2025-06-15,,Active,18,7.5000,24,2027-06-05,Direct
115,43,19,SUB-00000115,2025-06-15,,Paused,10,0.0000,12,2026-06-10,Direct
116,44,13,SUB-00000116,2025-05-11,,Active,4,10.0000,36,2028-04-25,Partner
117,44,18,SUB-00000117,2025-05-11,,Active,5,2.5000,24,2027-05-01,Direct
118,44,9,SUB-00000118,2025-05-11,,Active,3,5.0000,36,2028-04-25,Direct
119,44,21,SUB-00000119,2025-05-11,,Active,5,10.0000,24,2027-05-01,Direct
120,45,22,SUB-00000120,2025-01-28,,Active,1,2.5000,36,2028-01-13,Partner
121,45,19,SUB-00000121,2024-06-08,,Active,7,0.0000,36,2027-05-24,Partner
122,46,13,SUB-00000122,2024-11-19,,Active,1,0.0000,36,2027-11-04,Direct
123,46,9,SUB-00000123,2024-04-02,,Active,2,2.5000,24,2026-03-23,Partner
124,46,22,SUB-00000124,2025-05-01,,Active,1,0.0000,24,2027-04-21,Direct
125,47,5,SUB-00000125,2025-07-29,,Active,3,2.5000,36,2028-07-13,Direct
126,47,2,SUB-00000126,2025-01-19,,Active,4,0.0000,12,2026-01-14,Direct
127,48,14,SUB-00000127,2024-01-21,,Active,3,0.0000,24,2026-01-10,Partner
128,48,17,SUB-00000128,2024-06-02,,Active,2,7.5000,12,2025-05-28,Partner
129,48,22,SUB-00000129,2024-01-17,,Active,2,7.5000,36,2027-01-01,Partner
130,49,16,SUB-00000130,2024-11-22,2025-06-22,Cancelled,23,5.0000,12,2025-11-17,Partner
131,49,4,SUB-00000131,2024-10-06,,Active,22,0.0000,36,2027-09-21,Partner
132,50,23,SUB-00000132,2025-08-10,,Active,16,10.0000,12,2026-08-05,Partner
133,51,10,SUB-00000133,2025-03-06,,Active,4,7.5000,36,2028-02-19,Direct
134,52,14,SUB-00000134,2024-10-15,,Active,1,7.5000,24,2026-10-05,Marketplace
135,52,2,SUB-00000135,2024-09-05,,Active,5,2.5000,12,2025-08-31,Direct
136,52,18,SUB-00000136,2025-09-24,,Active,4,7.5000,12,2026-09-19,Marketplace
137,53,5,SUB-00000137,2024-03-24,,Active,1,10.0000,12,2025-03-19,Marketplace
138,54,13,SUB-00000138,2024-11-24,,Active,2,12.5000,36,2027-11-09,Marketplace
139,54,22,SUB-00000139,2024-11-11,,Paused,2,2.5000,24,2026-11-01,Partner
140,55,22,SUB-00000140,2024-05-06,,Active,3,2.5000,36,2027-04-21,Direct
141,55,17,SUB-00000141,2025-02-26,,Active,3,7.5000,36,2028-02-11,Marketplace
142,56,11,SUB-00000142,2024-06-14,2025-05-22,Cancelled,12,0.0000,12,2025-06-09,Marketplace
143,56,19,SUB-00000143,2024-01-13,,Active,25,7.5000,36,2026-12-28,Marketplace
144,57,13,SUB-00000144,2025-04-05,,Active,3,12.5000,36,2028-03-20,Partner
145,58,22,SUB-00000145,2024-12-27,,Active,13,12.5000,24,2026-12-17,Partner
146,58,15,SUB-00000146,2024-04-21,,Active,21,0.0000,12,2025-04-16,Partner
147,59,6,SUB-00000147,2025-08-30,,Paused,16,0.0000,12,2026-08-25,Partner
148,59,18,SUB-00000148,2024-11-11,,Active,9,2.5000,24,2026-11-01,Direct
149,59,23,SUB-00000149,2025-03-21,,Active,12,0.0000,12,2026-03-16,Direct
150,60,7,SUB-00000150,2024-08-28,,Active,14,12.5000,36,2027-08-13,Direct
151,60,16,SUB-00000151,2024-11-14,,Active,20,0.0000,36,2027-10-30,Marketplace
152,60,10,SUB-00000152,2025-01-13,,Active,15,7.5000,36,2027-12-29,Partner
153,61,10,SUB-00000153,2025-05-02,,Active,11,2.5000,24,2027-04-22,Direct
154,61,24,SUB-00000154,2025-09-16,,Active,19,12.5000,12,2026-09-11,Direct
155,62,5,SUB-00000155,2025-09-30,,Active,5,5.0000,24,2027-09-20,Direct
156,62,9,SUB-00000156,2025-01-07,,Active,1,7.5000,12,2026-01-02,Partner
157,62,18,SUB-00000157,2024-11-23,,Active,5,2.5000,24,2026-11-13,Marketplace
158,63,12,SUB-00000158,2024-03-03,,Active,17,5.0000,36,2027-02-16,Direct
159,63,15,SUB-00000159,2024-09-24,,Paused,21,10.0000,12,2025-09-19,Direct
160,64,21,SUB-00000160,2025-01-26,,Active,3,0.0000,36,2028-01-11,Partner
161,64,9,SUB-00000161,2024-06-15,,Active,1,0.0000,36,2027-05-31,Partner
162,64,13,SUB-00000162,2025-01-19,2025-11-27,Cancelled,3,10.0000,36,2028-01-04,Direct
163,65,12,SUB-00000163,2025-08-02,2026-07-19,Cancelled,2,0.0000,36,2028-07-17,Partner
164,65,7,SUB-00000164,2025-05-08,,Active,3,7.5000,36,2028-04-22,Partner
165,65,4,SUB-00000165,2025-05-19,,Active,21,10.0000,24,2027-05-09,Marketplace
166,66,15,SUB-00000166,2024-12-29,,Active,8,2.5000,12,2025-12-24,Direct
167,66,3,SUB-00000167,2024-12-29,2025-07-19,Cancelled,25,2.5000,24,2026-12-19,Direct
168,67,21,SUB-00000168,2025-02-09,,Active,1,10.0000,12,2026-02-04,Marketplace
169,67,5,SUB-00000169,2024-09-12,,Active,1,7.5000,36,2027-08-28,Marketplace
170,68,21,SUB-00000170,2025-09-29,,Active,4,0.0000,24,2027-09-19,Direct
171,68,6,SUB-00000171,2024-11-30,,Active,4,0.0000,24,2026-11-20,Partner
172,69,13,SUB-00000172,2024-04-19,,Active,5,5.0000,36,2027-04-04,Marketplace
173,69,10,SUB-00000173,2025-04-19,,Active,3,2.5000,12,2026-04-14,Marketplace
174,69,5,SUB-00000174,2024-12-07,,Active,3,12.5000,12,2025-12-02,Partner
175,69,17,SUB-00000175,2025-07-28,,Active,2,0.0000,36,2028-07-12,Marketplace
176,70,2,SUB-00000176,2025-04-21,,Active,5,0.0000,12,2026-04-16,Direct
177,71,14,SUB-00000177,2025-01-16,,Active,10,0.0000,12,2026-01-11,Direct
178,72,1,SUB-00000178,2025-03-22,,Active,2,12.5000,24,2027-03-12,Marketplace
179,72,6,SUB-00000179,2025-07-30,2026-01-14,Cancelled,2,0.0000,24,2027-07-20,Partner
180,72,22,SUB-00000180,2025-03-22,,Active,5,0.0000,24,2027-03-12,Marketplace
181,73,24,SUB-00000181,2025-05-05,,Paused,9,2.5000,12,2026-04-30,Direct
182,74,19,SUB-00000182,2025-03-21,,Active,8,0.0000,36,2028-03-05,Partner
183,74,14,SUB-00000183,2025-04-28,,Active,12,0.0000,36,2028-04-12,Partner
184,74,7,SUB-00000184,2025-08-17,,Active,25,5.0000,24,2027-08-07,Direct
185,74,11,SUB-00000185,2025-03-18,,Active,11,7.5000,12,2026-03-13,Marketplace
186,75,1,SUB-00000186,2024-12-17,,Active,2,7.5000,36,2027-12-02,Marketplace
187,75,21,SUB-00000187,2024-12-02,,Active,4,0.0000,12,2025-11-27,Marketplace
188,75,5,SUB-00000188,2024-12-02,,Active,2,7.5000,36,2027-11-17,Partner
189,75,17,SUB-00000189,2025-02-08,,Active,5,7.5000,36,2028-01-24,Marketplace
190,76,23,SUB-00000190,2025-04-09,,Active,7,0.0000,12,2026-04-04,Marketplace
191,76,3,SUB-00000191,2024-12-09,,Active,7,0.0000,12,2025-12-04,Direct
192,76,6,SUB-00000192,2024-12-09,,Active,3,5.0000,12,2025-12-04,Partner
193,76,20,SUB-00000193,2025-02-16,,Active,13,7.5000,12,2026-02-11,Direct
194,77,21,SUB-00000194,2025-09-21,2026-08-28,Cancelled,1,12.5000,36,2028-09-05,Partner
195,77,13,SUB-00000195,2025-07-05,,Active,3,12.5000,12,2026-06-30,Direct
196,77,17,SUB-00000196,2025-04-04,,Active,1,12.5000,36,2028-03-19,Partner
197,78,9,SUB-00000197,2024-11-13,,Active,2,10.0000,36,2027-10-29,Direct
198,78,21,SUB-00000198,2025-03-31,,Active,5,10.0000,12,2026-03-26,Marketplace
199,78,2,SUB-00000199,2025-06-13,,Active,2,0.0000,24,2027-06-03,Partner
200,79,1,SUB-00000200,2024-07-22,,Paused,2,10.0000,24,2026-07-12,Direct
201,79,21,SUB-00000201,2025-05-20,,Active,1,0.0000,12,2026-05-15,Direct
202,79,17,SUB-00000202,2025-05-23,,Active,5,7.5000,24,2027-05-13,Marketplace
203,80,15,SUB-00000203,2025-07-24,,Active,9,7.5000,36,2028-07-08,Partner
204,81,1,SUB-00000204,2024-05-24,,Active,2,12.5000,12,2025-05-19,Marketplace
205,81,19,SUB-00000205,2024-05-24,,Active,5,0.0000,36,2027-05-09,Direct
206,81,21,SUB-00000206,2024-05-24,2024-08-28,Cancelled,1,5.0000,24,2026-05-14,Marketplace
207,81,9,SUB-00000207,2024-09-06,,Active,4,12.5000,24,2026-08-27,Partner
208,82,5,SUB-00000208,2024-06-04,,Active,4,0.0000,36,2027-05-20,Marketplace
209,82,13,SUB-00000209,2024-08-18,,Active,1,7.5000,24,2026-08-08,Partner
210,83,13,SUB-00000210,2025-04-05,,Active,2,12.5000,36,2028-03-20,Marketplace
211,84,7,SUB-00000211,2025-09-05,,Active,14,0.0000,36,2028-08-20,Partner
212,84,2,SUB-00000212,2025-01-13,,Active,11,5.0000,24,2027-01-03,Marketplace
213,84,23,SUB-00000213,2025-01-30,,Active,22,0.0000,36,2028-01-15,Partner
214,84,14,SUB-00000214,2025-06-29,,Active,21,5.0000,36,2028-06-13,Partner
215,85,9,SUB-00000215,2024-09-02,,Active,2,7.5000,36,2027-08-18,Marketplace
216,85,22,SUB-00000216,2025-03-10,,Active,2,5.0000,36,2028-02-23,Direct
217,85,6,SUB-00000217,2025-04-18,,Active,3,2.5000,36,2028-04-02,Direct
218,86,10,SUB-00000218,2024-09-08,,Active,19,12.5000,24,2026-08-29,Marketplace
219,86,14,SUB-00000219,2024-08-08,,Active,1,0.0000,24,2026-07-29,Direct
220,86,23,SUB-00000220,2025-07-17,,Active,14,2.5000,36,2028-07-01,Partner
221,87,19,SUB-00000221,2024-04-20,,Active,2,0.0000,24,2026-04-10,Direct
222,88,2,SUB-00000222,2024-10-11,,Active,1,10.0000,12,2025-10-06,Direct
223,88,5,SUB-00000223,2024-04-24,,Active,3,10.0000,24,2026-04-14,Direct
224,88,17,SUB-00000224,2024-08-30,2025-05-09,Cancelled,2,0.0000,12,2025-08-25,Partner
225,89,4,SUB-00000225,2025-08-07,,Active,16,0.0000,36,2028-07-22,Direct
226,89,11,SUB-00000226,2025-04-15,,Active,8,5.0000,36,2028-03-30,Direct
227,90,17,SUB-00000227,2025-09-06,,Active,1,10.0000,24,2027-08-27,Marketplace
228,91,19,SUB-00000228,2025-03-06,,Active,22,12.5000,12,2026-03-01,Partner
229,91,11,SUB-00000229,2025-03-06,,Active,15,2.5000,24,2027-02-24,Partner
230,91,6,SUB-00000230,2025-03-06,,Active,9,2.5000,12,2026-03-01,Marketplace
231,91,22,SUB-00000231,2025-04-25,,Active,21,0.0000,12,2026-04-20,Partner
232,92,13,SUB-00000232,2024-01-21,,Active,4,0.0000,24,2026-01-10,Partner
233,93,9,SUB-00000233,2025-05-05,,Active,5,2.5000,12,2026-04-30,Direct
234,93,7,SUB-00000234,2024-04-02,,Active,5,0.0000,36,2027-03-18,Partner
235,93,13,SUB-00000235,2024-10-27,,Active,2,2.5000,12,2025-10-22,Partner
236,94,1,SUB-00000236,2025-09-27,,Active,2,5.0000,12,2026-09-22,Marketplace
237,94,9,SUB-00000237,2024-01-18,,Active,1,5.0000,12,2025-01-12,Direct
238,94,13,SUB-00000238,2024-06-05,,Active,1,7.5000,36,2027-05-21,Direct
239,95,15,SUB-00000239,2024-10-19,2025-04-06,Cancelled,5,2.5000,12,2025-10-14,Marketplace
240,95,19,SUB-00000240,2024-10-19,,Active,8,0.0000,24,2026-10-09,Marketplace
241,95,23,SUB-00000241,2024-10-19,,Active,16,10.0000,12,2025-10-14,Marketplace
242,96,18,SUB-00000242,2025-08-14,,Active,3,10.0000,36,2028-07-29,Direct
243,96,1,SUB-00000243,2024-07-30,,Active,3,0.0000,12,2025-07-25,Marketplace
244,96,14,SUB-00000244,2025-01-17,,Active,1,2.5000,12,2026-01-12,Partner
245,96,22,SUB-00000245,2024-07-01,,Active,2,0.0000,36,2027-06-16,Direct
246,97,23,SUB-00000246,2025-04-21,,Active,14,0.0000,24,2027-04-11,Direct
247,97,12,SUB-00000247,2025-01-18,,Active,21,10.0000,12,2026-01-13,Direct
248,97,4,SUB-00000248,2025-05-05,,Active,17,0.0000,12,2026-04-30,Direct
249,97,8,SUB-00000249,2024-01-26,,Active,1,12.5000,36,2027-01-10,Partner
250,98,19,SUB-00000250,2024-11-30,,Active,19,0.0000,24,2026-11-20,Partner
251,98,23,SUB-00000251,2025-08-02,2026-01-17,Cancelled,13,7.5000,36,2028-07-17,Marketplace
252,98,7,SUB-00000252,2024-05-30,,Active,13,2.5000,12,2025-05-25,Direct
253,99,13,SUB-00000253,2025-08-05,,Active,2,10.0000,12,2026-07-31,Marketplace
254,100,4,SUB-00000254,2024-06-16,,Active,3,2.5000,12,2025-06-11,Partner
255,100,8,SUB-00000255,2024-03-22,,Active,20,7.5000,36,2027-03-07,Partner
256,100,20,SUB-00000256,2025-06-23,,Active,19,5.0000,12,2026-06-18,Marketplace
257,101,14,SUB-00000257,2025-03-28,,Active,24,10.0000,24,2027-03-18,Direct
258,101,4,SUB-00000258,2025-03-28,,Active,8,12.5000,36,2028-03-12,Direct
259,102,15,SUB-00000259,2025-02-13,,Active,8,0.0000,24,2027-02-03,Marketplace
260,103,12,SUB-00000260,2024-02-28,,Active,14,12.5000,24,2026-02-17,Direct
261,103,16,SUB-00000261,2024-08-29,,Active,13,2.5000,24,2026-08-19,Partner
262,103,8,SUB-00000262,2025-09-17,,Active,19,10.0000,12,2026-09-12,Direct
263,103,3,SUB-00000263,2025-07-07,,Active,23,0.0000,24,2027-06-27,Direct
264,104,9,SUB-00000264,2025-01-10,,Active,3,0.0000,36,2027-12-26,Direct
265,105,3,SUB-00000265,2025-08-19,,Active,7,0.0000,12,2026-08-14,Partner
266,105,15,SUB-00000266,2025-08-30,,Active,20,5.0000,24,2027-08-20,Direct
267,106,21,SUB-00000267,2025-06-11,,Active,3,0.0000,12,2026-06-06,Partner
268,107,15,SUB-00000268,2025-04-22,,Active,13,10.0000,36,2028-04-06,Direct
269,107,7,SUB-00000269,2025-04-22,,Active,3,0.0000,24,2027-04-12,Marketplace
270,107,23,SUB-00000270,2025-04-22,,Active,11,7.5000,12,2026-04-17,Marketplace
271,108,3,SUB-00000271,2025-07-19,,Active,7,12.5000,36,2028-07-03,Marketplace
272,108,10,SUB-00000272,2025-02-02,2025-09-09,Cancelled,13,0.0000,12,2026-01-28,Partner
273,109,14,SUB-00000273,2025-03-27,,Active,3,0.0000,24,2027-03-17,Direct
274,109,18,SUB-00000274,2025-03-27,,Active,1,0.0000,24,2027-03-17,Direct
275,109,5,SUB-00000275,2025-03-27,2025-06-29,Cancelled,3,7.5000,24,2027-03-17,Marketplace
276,109,9,SUB-00000276,2025-05-28,,Active,5,5.0000,12,2026-05-23,Marketplace
277,110,15,SUB-00000277,2024-02-10,,Active,10,12.5000,24,2026-01-30,Direct
278,110,22,SUB-00000278,2024-03-05,,Active,15,2.5000,24,2026-02-23,Partner
279,110,11,SUB-00000279,2024-11-03,,Active,22,5.0000,36,2027-10-19,Partner
280,110,2,SUB-00000280,2024-08-15,,Paused,2,0.0000,24,2026-08-05,Partner
281,111,17,SUB-00000281,2024-07-06,,Active,5,5.0000,24,2026-06-26,Direct
282,111,6,SUB-00000282,2025-07-12,,Active,1,7.5000,36,2028-06-26,Marketplace
283,111,1,SUB-00000283,2024-07-06,,Active,3,5.0000,36,2027-06-21,Partner
284,111,21,SUB-00000284,2024-07-06,,Active,3,0.0000,24,2026-06-26,Direct
285,112,2,SUB-00000285,2024-10-03,,Active,1,12.5000,12,2025-09-28,Marketplace
286,112,5,SUB-00000286,2024-12-30,,Active,2,5.0000,12,2025-12-25,Marketplace
287,113,4,SUB-00000287,2024-11-02,,Active,23,2.5000,12,2025-10-28,Partner
288,114,1,SUB-00000288,2025-06-08,,Active,4,0.0000,24,2027-05-29,Marketplace
289,114,21,SUB-00000289,2025-04-13,,Active,1,0.0000,24,2027-04-03,Partner
290,114,5,SUB-00000290,2025-01-16,,Active,1,7.5000,36,2028-01-01,Partner
291,115,18,SUB-00000291,2024-05-19,,Active,24,7.5000,24,2026-05-09,Direct
292,116,6,SUB-00000292,2024-11-15,,Active,1,0.0000,36,2027-10-31,Partner
293,117,10,SUB-00000293,2024-12-14,,Active,3,0.0000,24,2026-12-04,Partner
294,117,1,SUB-00000294,2024-07-22,,Active,2,0.0000,24,2026-07-12,Partner
295,118,11,SUB-00000295,2025-05-03,,Active,3,2.5000,12,2026-04-28,Direct
296,119,22,SUB-00000296,2025-07-16,,Active,18,5.0000,36,2028-06-30,Direct
297,119,15,SUB-00000297,2024-11-13,,Active,5,0.0000,36,2027-10-29,Direct
298,119,4,SUB-00000298,2025-05-03,,Active,18,0.0000,12,2026-04-28,Partner
299,120,1,SUB-00000299,2024-12-08,,Active,1,0.0000,12,2025-12-03,Partner
