PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentMethod,PaymentStatus,Amount,ReferenceNumber,ProcessorName
50,38,1,2025-10-15,Card,Settled,70.3356,PAY-000000050,Manual
51,39,1,2025-11-26,ACH,Settled,318.6074,PAY-000000051,Adyen
52,40,1,2025-12-30,Card,Settled,328.4740,PAY-000000052,Fiserv
53,41,1,2026-01-11,Wire,Settled,141.5671,PAY-000000053,Manual
54,42,1,2026-02-09,ACH,Settled,148.9356,PAY-000000054,Adyen
55,42,1,2026-02-06,Card,Settled,43.4660,PAY-000000055,Stripe
56,42,1,2026-02-09,Card,Settled,21.9072,PAY-000000056,Fiserv
57,43,1,2026-04-30,Card,Settled,320.1572,PAY-000000057,Stripe
58,44,1,2026-05-28,Wire,Settled,312.4555,PAY-000000058,Stripe
59,45,2,2025-06-17,Wire,Settled,31.6049,PAY-000000059,Adyen
60,46,2,2025-07-06,Wire,Settled,29.4308,PAY-000000060,Stripe
61,47,2,2025-08-02,ACH,Settled,32.1533,PAY-000000061,Adyen
62,48,2,2025-09-05,Check,Settled,5.0067,PAY-000000062,Adyen
63,48,2,2025-09-30,ACH,Settled,3.0764,PAY-000000063,Stripe
64,48,2,2025-09-07,Wire,Settled,9.9247,PAY-000000064,Manual
65,49,2,2025-10-30,Card,Settled,20.9735,PAY-000000065,Manual
66,50,2,2025-11-21,Wire,Settled,29.2171,PAY-000000066,Adyen
67,52,2,2026-01-14,Check,Settled,23.5790,PAY-000000067,Fiserv
68,53,2,2026-02-05,Check,Settled,35.5186,PAY-000000068,Manual
69,54,2,2026-04-23,ACH,Settled,45.6531,PAY-000000069,Manual
70,55,2,2026-05-01,Wire,Settled,28.4130,PAY-000000070,Adyen
71,56,2,2025-09-30,ACH,Settled,29.9503,PAY-000000071,Manual
72,57,2,2025-10-07,ACH,Settled,11.4158,PAY-000000072,Adyen
73,58,2,2025-11-16,ACH,Settled,23.9610,PAY-000000073,Adyen
74,59,2,2025-12-29,Card,Settled,41.0783,PAY-000000074,Stripe
75,60,2,2026-01-08,ACH,Settled,8.1566,PAY-000000075,Stripe
76,60,2,2026-01-11,Card,Settled,4.5833,PAY-000000076,Adyen
77,61,2,2026-03-02,Check,Settled,38.8191,PAY-000000077,Fiserv
78,62,2,2026-04-04,ACH,Settled,24.1973,PAY-000000078,Fiserv
79,64,2,2025-06-27,Check,Settled,55.2935,PAY-000000079,Stripe
80,66,2,2025-08-30,Card,Settled,55.7803,PAY-000000080,Fiserv
81,67,2,2025-09-24,Wire,Settled,76.7495,PAY-000000081,Stripe
82,68,2,2025-10-25,Wire,Settled,60.0812,PAY-000000082,Adyen
83,69,2,2025-11-25,Wire,Settled,72.2292,PAY-000000083,Manual
84,70,2,2025-12-06,Check,Settled,65.7267,PAY-000000084,Fiserv
85,71,2,2026-01-02,Card,Settled,28.1533,PAY-000000085,Manual
86,71,2,2026-01-18,Card,Settled,14.3151,PAY-000000086,Fiserv
87,71,2,2026-01-30,Wire,Settled,7.5880,PAY-000000087,Manual
88,72,2,2026-02-05,Check,Settled,61.7021,PAY-000000088,Stripe
89,73,2,2026-04-05,Card,Settled,75.1941,PAY-000000089,Adyen
90,74,2,2026-05-07,Check,Settled,58.3003,PAY-000000090,Stripe
91,75,2,2025-06-06,Wire,Settled,723.7568,PAY-000000091,Stripe
92,76,2,2025-07-06,Check,Settled,612.5810,PAY-000000092,Stripe
93,77,2,2025-08-19,Wire,Settled,744.5277,PAY-000000093,Adyen
94,79,2,2025-10-11,Card,Settled,723.3034,PAY-000000094,Manual
95,80,2,2025-11-21,Wire,Settled,731.4738,PAY-000000095,Adyen
96,81,2,2025-12-16,ACH,Settled,564.6752,PAY-000000096,Fiserv
97,82,2,2026-01-05,Check,Settled,727.3157,PAY-000000097,Stripe
98,83,2,2026-03-02,Check,Settled,734.6598,PAY-000000098,Fiserv
99,84,2,2026-04-19,Check,Settled,735.8874,PAY-000000099,Adyen
100,85,2,2026-05-27,Check,Settled,734.3734,PAY-000000100,Manual
101,87,3,2025-07-23,Wire,Settled,1640.4741,PAY-000000101,Manual
102,88,3,2025-08-30,Card,Settled,1643.5056,PAY-000000102,Manual
103,89,3,2025-09-30,Card,Settled,1726.6248,PAY-000000103,Manual
104,90,3,2025-10-09,Check,Settled,1702.0411,PAY-000000104,Fiserv
105,91,3,2025-11-02,Card,Settled,1638.6682,PAY-000000105,Manual
106,92,3,2025-12-07,Check,Settled,1624.9261,PAY-000000106,Adyen
107,93,3,2026-01-19,Card,Settled,1640.5648,PAY-000000107,Adyen
108,94,3,2026-02-15,Card,Settled,1681.6949,PAY-000000108,Adyen
109,95,3,2026-04-11,Card,Settled,1723.6730,PAY-000000109,Stripe
110,96,3,2026-05-23,Card,Settled,1697.6140,PAY-000000110,Fiserv
111,97,3,2025-06-30,Check,Settled,36.8275,PAY-000000111,Adyen
112,98,3,2025-07-16,Card,Settled,26.0888,PAY-000000112,Adyen
113,99,3,2025-08-30,Wire,Settled,3.3812,PAY-000000113,Adyen
114,99,3,2025-08-26,Check,Settled,10.7475,PAY-000000114,Fiserv
115,100,3,2025-09-12,Check,Settled,29.3781,PAY-000000115,Fiserv
116,101,3,2025-10-23,Card,Settled,27.1890,PAY-000000116,Adyen
117,102,3,2025-11-30,ACH,Settled,21.0919,PAY-000000117,Manual
118,103,3,2025-12-04,ACH,Settled,26.1091,PAY-000000118,Manual
119,104,3,2026-01-05,Wire,Settled,25.1818,PAY-000000119,Adyen
120,105,3,2026-03-02,ACH,Settled,15.8135,PAY-000000120,Stripe
121,107,3,2026-05-15,Card,Settled,24.0810,PAY-000000121,Stripe
122,109,3,2025-07-24,ACH,Settled,35.6207,PAY-000000122,Adyen
123,109,3,2025-07-30,ACH,Settled,36.6779,PAY-000000123,Manual
124,109,3,2025-07-11,ACH,Settled,23.4828,PAY-000000124,Adyen
125,110,3,2025-08-29,ACH,Settled,125.6381,PAY-000000125,Manual
126,111,3,2025-09-30,Wire,Settled,139.4034,PAY-000000126,Fiserv
127,112,3,2025-10-14,Card,Settled,69.9172,PAY-000000127,Adyen
128,113,3,2025-11-06,Wire,Settled,116.8695,PAY-000000128,Manual
129,114,3,2025-12-13,Check,Settled,132.6452,PAY-000000129,Manual
130,115,3,2026-01-03,Wire,Settled,126.1884,PAY-000000130,Adyen
131,116,3,2026-02-28,ACH,Settled,117.6197,PAY-000000131,Stripe
132,117,3,2026-04-18,Card,Settled,41.0655,PAY-000000132,Adyen
133,117,3,2026-04-01,Wire,Settled,43.4066,PAY-000000133,Stripe
134,119,4,2025-07-03,Wire,Settled,281.6404,PAY-000000134,Manual
135,121,4,2025-09-21,Card,Settled,291.3756,PAY-000000135,Stripe
136,122,4,2025-10-30,Check,Settled,111.6360,PAY-000000136,Adyen
137,122,4,2025-10-20,Check,Settled,82.9832,PAY-000000137,Manual
138,125,4,2026-01-05,ACH,Settled,283.0531,PAY-000000138,Manual
139,126,4,2026-02-19,Card,Settled,303.3883,PAY-000000139,Manual
140,127,4,2026-04-19,Check,Settled,54.2381,PAY-000000140,Stripe
141,127,4,2026-04-05,ACH,Settled,136.3249,PAY-000000141,Stripe
142,128,4,2026-05-28,Wire,Settled,283.1852,PAY-000000142,Manual
143,129,4,2025-06-01,Check,Settled,97.3866,PAY-000000143,Fiserv
144,130,4,2025-07-14,Check,Settled,185.3584,PAY-000000144,Stripe
145,131,4,2025-08-10,Check,Settled,152.7828,PAY-000000145,Adyen
146,132,4,2025-09-30,Check,Settled,134.2169,PAY-000000146,Adyen
147,133,4,2025-10-12,Wire,Settled,138.8571,PAY-000000147,Manual
148,134,4,2025-11-20,Check,Settled,193.0999,PAY-000000148,Stripe
149,136,4,2026-01-05,Check,Settled,35.7086,PAY-000000149,Adyen
150,136,4,2026-01-20,ACH,Settled,30.3273,PAY-000000150,Adyen
151,136,4,2026-01-19,ACH,Settled,35.3609,PAY-000000151,Manual
152,137,4,2026-02-02,Wire,Settled,209.1021,PAY-000000152,Adyen
153,138,4,2026-04-06,Wire,Settled,86.8892,PAY-000000153,Fiserv
154,139,4,2026-05-27,Wire,Settled,185.6328,PAY-000000154,Fiserv
155,140,5,2025-06-30,Wire,Settled,2010.3251,PAY-000000155,Adyen
156,141,5,2025-07-21,Wire,Settled,4707.5682,PAY-000000156,Fiserv
157,142,5,2025-08-21,ACH,Settled,4400.2111,PAY-000000157,Stripe
158,143,5,2025-09-25,ACH,Settled,2187.4496,PAY-000000158,Fiserv
159,145,5,2025-11-16,Check,Settled,2318.0635,PAY-000000159,Adyen
160,146,5,2025-12-21,ACH,Settled,963.3241,PAY-000000160,Manual
161,146,5,2025-12-30,Check,Settled,324.3653,PAY-000000161,Stripe
162,146,5,2025-12-02,ACH,Settled,370.9083,PAY-000000162,Adyen
163,147,5,2026-01-26,Card,Settled,2558.8338,PAY-000000163,Adyen
164,148,5,2026-02-09,Card,Settled,878.9911,PAY-000000164,Manual
165,148,5,2026-02-17,ACH,Settled,1112.1364,PAY-000000165,Manual
166,148,5,2026-02-28,Check,Settled,904.4231,PAY-000000166,Manual
167,150,5,2026-05-26,ACH,Settled,3031.3431,PAY-000000167,Fiserv
168,152,5,2025-07-06,Wire,Settled,287.2915,PAY-000000168,Manual
169,153,5,2025-08-21,Wire,Settled,383.8631,PAY-000000169,Stripe
170,154,5,2025-09-03,ACH,Settled,580.6400,PAY-000000170,Stripe
171,155,5,2025-10-16,ACH,Settled,418.7701,PAY-000000171,Stripe
172,156,5,2025-11-05,Wire,Settled,190.2775,PAY-000000172,Fiserv
173,157,5,2025-12-20,Wire,Settled,412.2780,PAY-000000173,Stripe
174,158,5,2026-01-27,Check,Settled,392.2219,PAY-000000174,Adyen
175,159,5,2026-02-12,Check,Settled,100.7645,PAY-000000175,Manual
176,161,5,2026-05-07,ACH,Settled,413.8085,PAY-000000176,Fiserv
177,162,5,2025-06-24,Check,Settled,13253.6503,PAY-000000177,Manual
178,163,5,2025-07-26,Wire,Settled,20378.4453,PAY-000000178,Stripe
179,164,5,2025-08-16,Wire,Settled,7946.0187,PAY-000000179,Manual
180,164,5,2025-08-14,Check,Settled,13270.5224,PAY-000000180,Adyen
181,165,5,2025-09-23,Wire,Settled,29992.3457,PAY-000000181,Adyen
182,166,5,2025-10-15,Card,Settled,5519.4914,PAY-000000182,Manual
183,166,5,2025-10-03,Card,Settled,1661.3128,PAY-000000183,Fiserv
184,166,5,2025-10-30,Card,Settled,2178.2961,PAY-000000184,Adyen
185,167,5,2025-11-15,ACH,Settled,26737.9082,PAY-000000185,Adyen
186,168,5,2025-12-11,Check,Settled,4745.5620,PAY-000000186,Stripe
187,168,5,2025-12-25,Card,Settled,942.5634,PAY-000000187,Stripe
188,168,5,2025-12-10,ACH,Settled,3527.4100,PAY-000000188,Fiserv
189,169,5,2026-01-17,Check,Settled,21472.3528,PAY-000000189,Adyen
190,170,5,2026-02-06,Wire,Settled,28779.4173,PAY-000000190,Adyen
191,171,5,2026-04-26,Wire,Settled,26073.8763,PAY-000000191,Adyen
192,172,5,2026-05-12,Check,Settled,21097.8042,PAY-000000192,Stripe
193,174,5,2025-07-02,Wire,Settled,2449.0904,PAY-000000193,Stripe
194,175,5,2025-08-24,Wire,Settled,5826.7885,PAY-000000194,Manual
195,176,5,2025-09-04,Check,Settled,5169.9073,PAY-000000195,Fiserv
196,177,5,2025-10-04,ACH,Settled,1784.9751,PAY-000000196,Manual
197,178,5,2025-11-14,Card,Settled,3384.0713,PAY-000000197,Manual
198,179,5,2025-12-18,Check,Settled,3714.3127,PAY-000000198,Manual
199,180,5,2026-01-21,Check,Settled,3973.6866,PAY-000000199,Fiserv
200,181,5,2026-02-01,ACH,Settled,2221.3235,PAY-000000200,Manual
201,182,5,2026-04-17,Check,Settled,3231.7575,PAY-000000201,Adyen
202,183,5,2026-05-08,Check,Settled,4522.8097,PAY-000000202,Adyen
203,185,6,2025-10-24,Card,Settled,26.8464,PAY-000000203,Adyen
204,185,6,2025-10-03,Card,Settled,13.0783,PAY-000000204,Fiserv
205,186,6,2025-11-07,Check,Settled,53.2483,PAY-000000205,Fiserv
206,187,6,2025-12-04,Wire,Settled,24.5079,PAY-000000206,Adyen
207,188,6,2026-01-23,Card,Settled,33.0487,PAY-000000207,Stripe
208,189,6,2026-03-02,Wire,Settled,37.9973,PAY-000000208,Adyen
209,191,6,2026-05-21,ACH,Settled,55.6144,PAY-000000209,Stripe
210,192,7,2025-07-27,Check,Settled,2708.9318,PAY-000000210,Manual
211,193,7,2025-08-21,Check,Settled,3471.6598,PAY-000000211,Manual
212,194,7,2025-09-25,Wire,Settled,3226.2836,PAY-000000212,Adyen
213,195,7,2025-10-30,Card,Settled,3493.8445,PAY-000000213,Manual
214,196,7,2025-11-30,ACH,Settled,1531.1986,PAY-000000214,Adyen
215,197,7,2025-12-20,Card,Settled,3226.3819,PAY-000000215,Adyen
216,198,7,2026-01-30,Card,Settled,3225.1442,PAY-000000216,Fiserv
217,199,7,2026-02-25,Check,Settled,3337.2714,PAY-000000217,Stripe
218,200,7,2026-04-30,Card,Settled,3539.7531,PAY-000000218,Fiserv
219,201,7,2026-05-02,Check,Settled,3299.4433,PAY-000000219,Adyen
220,202,7,2025-07-10,ACH,Settled,10778.1946,PAY-000000220,Manual
221,203,7,2025-08-13,Card,Settled,10980.8200,PAY-000000221,Stripe
222,206,7,2025-11-27,Check,Settled,11148.8860,PAY-000000222,Stripe
223,207,7,2025-12-30,Card,Settled,11035.1647,PAY-000000223,Fiserv
224,208,7,2026-01-11,Check,Settled,10978.9107,PAY-000000224,Fiserv
225,209,7,2026-02-23,ACH,Settled,11103.8328,PAY-000000225,Manual
226,210,7,2026-04-30,ACH,Settled,11183.7514,PAY-000000226,Stripe
227,212,7,2025-08-30,Card,Settled,138.1332,PAY-000000227,Adyen
228,212,7,2025-08-07,Check,Settled,88.0090,PAY-000000228,Adyen
229,213,7,2025-09-26,Card,Settled,96.8321,PAY-000000229,Manual
230,213,7,2025-09-27,ACH,Settled,199.6206,PAY-000000230,Adyen
231,214,7,2025-10-16,Card,Settled,197.3288,PAY-000000231,Adyen
232,216,7,2025-12-24,ACH,Settled,288.2388,PAY-000000232,Adyen
233,217,7,2026-01-26,Card,Settled,317.1020,PAY-000000233,Stripe
234,218,7,2026-03-02,Card,Settled,402.3489,PAY-000000234,Stripe
235,219,7,2026-04-02,Check,Settled,649.1237,PAY-000000235,Adyen
236,220,7,2026-05-08,Wire,Settled,580.9778,PAY-000000236,Fiserv
237,221,7,2025-07-06,Card,Settled,6001.2918,PAY-000000237,Adyen
238,222,7,2025-08-28,ACH,Settled,6414.9616,PAY-000000238,Fiserv
239,223,7,2025-09-06,Check,Settled,3549.5616,PAY-000000239,Manual
240,226,7,2025-12-30,Card,Settled,3648.8788,PAY-000000240,Manual
241,227,7,2026-01-11,Wire,Settled,4949.4098,PAY-000000241,Adyen
242,229,7,2026-04-14,Wire,Settled,6262.8981,PAY-000000242,Manual
243,230,7,2026-05-23,Wire,Settled,875.2996,PAY-000000243,Adyen
244,230,7,2026-05-12,Card,Settled,555.5013,PAY-000000244,Stripe
245,230,7,2026-05-16,Check,Settled,598.7080,PAY-000000245,Stripe
246,232,8,2025-07-28,ACH,Settled,686.8097,PAY-000000246,Stripe
247,233,8,2025-08-20,Card,Settled,279.4047,PAY-000000247,Fiserv
248,234,8,2025-09-27,ACH,Settled,502.0583,PAY-000000248,Fiserv
249,235,8,2025-10-30,Check,Settled,549.2306,PAY-000000249,Fiserv
250,236,8,2025-11-30,ACH,Settled,344.6881,PAY-000000250,Fiserv
251,237,8,2025-12-05,Card,Settled,525.2944,PAY-000000251,Manual
252,239,8,2026-02-09,ACH,Settled,703.6285,PAY-000000252,Adyen
253,240,8,2026-04-23,Check,Settled,545.6455,PAY-000000253,Adyen
254,241,8,2026-05-16,Card,Settled,222.8152,PAY-000000254,Manual
255,242,8,2025-09-16,ACH,Settled,432.4860,PAY-000000255,Stripe
256,242,8,2025-09-23,Card,Settled,729.5964,PAY-000000256,Fiserv
257,242,8,2025-09-30,Wire,Settled,442.0065,PAY-000000257,Stripe
258,244,8,2025-11-10,Card,Settled,1224.9366,PAY-000000258,Fiserv
259,244,8,2025-11-05,ACH,Settled,1124.4316,PAY-000000259,Fiserv
260,245,8,2025-12-25,ACH,Settled,1994.5285,PAY-000000260,Manual
261,246,8,2026-01-28,Card,Settled,3110.1381,PAY-000000261,Fiserv
262,248,8,2026-04-16,Card,Settled,2859.1705,PAY-000000262,Manual
263,250,8,2025-09-18,Card,Settled,4630.0407,PAY-000000263,Stripe
264,252,8,2025-11-30,Wire,Settled,6841.7613,PAY-000000264,Manual
265,253,8,2025-12-26,Card,Settled,5226.4739,PAY-000000265,Stripe
266,254,8,2026-01-08,ACH,Settled,4883.1930,PAY-000000266,Adyen
267,255,8,2026-03-02,Card,Settled,5113.2902,PAY-000000267,Stripe
268,256,8,2026-04-28,Card,Settled,2588.2102,PAY-000000268,Adyen
269,256,8,2026-04-09,Card,Settled,1599.4063,PAY-000000269,Stripe
270,257,8,2026-05-02,Check,Settled,6327.9358,PAY-000000270,Manual
271,258,9,2025-06-28,Wire,Settled,14897.4783,PAY-000000271,Manual
272,259,9,2025-07-20,Check,Settled,15083.9124,PAY-000000272,Stripe
273,260,9,2025-08-29,Wire,Settled,15437.5342,PAY-000000273,Stripe
274,261,9,2025-09-20,Check,Settled,15384.3631,PAY-000000274,Stripe
275,262,9,2025-10-10,Check,Settled,14682.9343,PAY-000000275,Fiserv
276,263,9,2025-11-05,Check,Settled,15082.3008,PAY-000000276,Manual
277,264,9,2025-12-18,Wire,Settled,15510.8366,PAY-000000277,Fiserv
278,265,9,2026-01-11,Card,Settled,15321.9350,PAY-000000278,Adyen
279,266,9,2026-02-15,Card,Settled,15634.4897,PAY-000000279,Manual
280,267,9,2026-04-30,ACH,Settled,9771.2255,PAY-000000280,Adyen
281,268,9,2026-05-12,Wire,Settled,14219.0080,PAY-000000281,Fiserv
282,269,10,2025-07-30,Check,Settled,322.3458,PAY-000000282,Fiserv
283,270,10,2025-08-26,ACH,Settled,324.8816,PAY-000000283,Manual
284,271,10,2025-09-24,Check,Settled,329.7464,PAY-000000284,Fiserv
285,272,10,2025-10-07,ACH,Settled,104.4585,PAY-000000285,Stripe
286,272,10,2025-10-29,Card,Settled,118.2114,PAY-000000286,Manual
287,273,10,2025-11-05,Check,Settled,321.8147,PAY-000000287,Stripe
288,274,10,2025-12-05,ACH,Settled,324.0244,PAY-000000288,Fiserv
289,275,10,2026-01-16,ACH,Settled,324.6622,PAY-000000289,Adyen
290,276,10,2026-02-07,ACH,Settled,316.4413,PAY-000000290,Adyen
291,277,10,2026-04-30,Wire,Settled,321.0816,PAY-000000291,Adyen
292,278,10,2026-05-20,ACH,Settled,327.6744,PAY-000000292,Adyen
293,279,10,2025-06-20,Wire,Settled,334.3418,PAY-000000293,Adyen
294,280,10,2025-07-20,Card,Settled,335.0076,PAY-000000294,Fiserv
295,281,10,2025-08-23,ACH,Settled,334.1116,PAY-000000295,Fiserv
296,282,10,2025-09-15,Wire,Settled,340.8972,PAY-000000296,Manual
297,283,10,2025-10-30,Card,Settled,338.6401,PAY-000000297,Fiserv
298,284,10,2025-11-08,ACH,Settled,138.3096,PAY-000000298,Fiserv
299,285,10,2025-12-10,Card,Settled,321.1685,PAY-000000299,Adyen
300,286,10,2026-01-19,Card,Settled,100.7609,PAY-000000300,Manual
301,286,10,2026-01-24,Wire,Settled,14.7185,PAY-000000301,Adyen
302,286,10,2026-01-22,Check,Settled,55.8497,PAY-000000302,Stripe
303,287,10,2026-02-16,Wire,Settled,257.5105,PAY-000000303,Manual
304,288,10,2026-04-30,Card,Settled,330.9345,PAY-000000304,Manual
305,289,10,2026-05-12,Check,Settled,319.3186,PAY-000000305,Stripe
306,290,10,2025-09-09,ACH,Settled,30.0565,PAY-000000306,Fiserv
307,291,10,2025-10-17,Check,Settled,23.5387,PAY-000000307,Stripe
308,292,10,2025-11-04,Card,Settled,33.7865,PAY-000000308,Stripe
309,293,10,2025-12-25,Card,Settled,21.4259,PAY-000000309,Manual
310,294,10,2026-01-09,Wire,Settled,41.4355,PAY-000000310,Manual
311,295,10,2026-02-28,ACH,Settled,33.6915,PAY-000000311,Stripe
312,296,10,2026-04-18,Wire,Settled,39.1146,PAY-000000312,Manual
313,297,10,2026-05-23,ACH,Settled,42.5507,PAY-000000313,Adyen
314,298,11,2025-06-13,ACH,Settled,72491.4817,PAY-000000314,Manual
315,299,11,2025-07-03,Card,Settled,62217.1386,PAY-000000315,Manual
316,300,11,2025-08-08,Check,Settled,12628.7763,PAY-000000316,Fiserv
317,300,11,2025-08-27,Check,Settled,38609.8632,PAY-000000317,Stripe
318,301,11,2025-09-30,Card,Settled,53125.1840,PAY-000000318,Stripe
319,302,11,2025-10-11,Wire,Settled,10669.5020,PAY-000000319,Fiserv
320,302,11,2025-10-02,Check,Settled,8891.5451,PAY-000000320,Fiserv
321,303,11,2025-11-29,ACH,Settled,35530.7843,PAY-000000321,Stripe
322,304,11,2025-12-19,Card,Settled,65347.9896,PAY-000000322,Manual
323,305,11,2026-01-08,Check,Settled,9758.5118,PAY-000000323,Manual
324,305,11,2026-01-10,ACH,Settled,21749.9585,PAY-000000324,Manual
325,306,11,2026-03-02,Check,Settled,46839.2798,PAY-000000325,Adyen
326,307,11,2026-04-25,Card,Settled,44609.0865,PAY-000000326,Fiserv
327,308,11,2026-05-03,Wire,Settled,10398.2047,PAY-000000327,Stripe
328,308,11,2026-05-17,Card,Settled,8644.1251,PAY-000000328,Fiserv
329,309,12,2025-06-10,Wire,Settled,42.8994,PAY-000000329,Adyen
330,310,12,2025-07-21,Wire,Settled,22.5807,PAY-000000330,Manual
331,311,12,2025-08-30,Card,Settled,20.9433,PAY-000000331,Manual
332,312,12,2025-09-27,Card,Settled,28.6562,PAY-000000332,Manual
333,314,12,2025-11-30,Wire,Settled,30.3206,PAY-000000333,Stripe
334,315,12,2025-12-22,ACH,Settled,28.3762,PAY-000000334,Fiserv
335,316,12,2026-01-30,Check,Settled,9.4966,PAY-000000335,Manual
336,316,12,2026-01-05,Card,Settled,10.8462,PAY-000000336,Adyen
337,317,12,2026-02-02,Wire,Settled,9.8317,PAY-000000337,Adyen
338,317,12,2026-02-04,Check,Settled,1.3393,PAY-000000338,Adyen
339,317,12,2026-02-02,Wire,Settled,3.4000,PAY-000000339,Stripe
340,318,12,2026-04-07,Check,Settled,42.6682,PAY-000000340,Adyen
341,319,12,2026-05-05,ACH,Settled,35.5925,PAY-000000341,Adyen
342,320,12,2025-06-23,ACH,Settled,28.0495,PAY-000000342,Stripe
343,321,12,2025-07-29,Card,Settled,35.0192,PAY-000000343,Adyen
344,322,12,2025-08-04,Wire,Settled,10.1031,PAY-000000344,Fiserv
345,322,12,2025-08-03,ACH,Settled,14.0789,PAY-000000345,Adyen
346,323,12,2025-09-30,ACH,Settled,20.9771,PAY-000000346,Manual
347,324,12,2025-10-01,ACH,Settled,35.5872,PAY-000000347,Adyen
348,325,12,2025-11-05,Card,Settled,11.2503,PAY-000000348,Adyen
349,326,12,2025-12-30,Card,Settled,19.0945,PAY-000000349,Adyen
350,327,12,2026-01-16,Wire,Settled,10.7804,PAY-000000350,Stripe
351,327,12,2026-01-06,Wire,Settled,9.9433,PAY-000000351,Manual
352,328,12,2026-03-02,Wire,Settled,21.7510,PAY-000000352,Fiserv
353,329,12,2026-04-09,Check,Settled,45.8380,PAY-000000353,Adyen
354,330,12,2026-05-03,ACH,Settled,37.4203,PAY-000000354,Fiserv
355,331,12,2025-06-28,Check,Settled,1573.2445,PAY-000000355,Manual
356,332,12,2025-07-16,Check,Settled,1143.1433,PAY-000000356,Manual
357,333,12,2025-08-30,Card,Settled,1614.1397,PAY-000000357,Manual
358,334,12,2025-09-11,Check,Settled,2002.6726,PAY-000000358,Adyen
